username;caption;tag;tagId;link
"wtdnews";"This weeks top stories -\n\n1. Six states went to polls in the U.S. primaries this Tuesday. Hillary Clinton dominated the Democratic vote, while Trump won most of the Republican primaries. John Kasich won his home state of Ohio, however, Marco Rubio lost his home state of Florida and dropped out of the Presidential race.\n\n2. Myanmar’s Parliament elected President Htin Kwaw, the country’s first civilian leader since the Army took power in 1962. He is a close advisor and aide to Aung San Suu Kyi, the popular leader who is barred from the presidency under the Constitution drafted by the Army.\n\n3. Three million people took to the streets in Brazil to demand the removal of President Dilma Rousseff, after she appointed former President Luiz Inácio Lula da Silva as her Chief of Staff. Both leaders have been implicated in a major corruption scandal in the country.\n\n4. U.S. President Obama nominated Chief Judge Merrick Garland to replace Justice Antonin Scalia in the U.S. Supreme Court. Garland has been Chief Judge of the United States Court of Appeals for the District of Columbia Circuit since 1997.\n\n5. Russian President Vladimir Putin announced the withdrawal of the bulk of his military forces currently stationed in Syria, saying that the mission had been accomplished.\n\n6. India played against New Zealand in their first match in the ICC T20 World Cup at was left defeated. On the other hand, New Zealand won two matches, the other one being against Australia. The much anticipated India vs. Pakistan match is scheduled for this evening.\n\n#USElections #HillaryClinton #DonaldTrump #MarcoRubio #Myanmar #AungSanSuuKyi #Brazil #DilmaRousseff #Obama #MerrickGarland #USSupremeCourt #Russia #Syria #VladimirPutin #ICC #NewZealand #India #Pakistan #Cricket #Sports";uselections;1;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/926373_1518280561810685_1256932012_n.jpg?ig_cache_key=MTIwOTI0MjE4NTA2NTMyOTA5Ng%3D%3D.2"
{"username":"theeconomist","username":"simonepossible"};"Don't say you weren't warned.\n\nWe've been here before. \nDog whistle politics will not save you.\n\n#Trump\n#USElections\n#2016presidentialelection \n#USA";uselections;1;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/1517091_914034268693762_831442636_n.jpg?ig_cache_key=MTIwODk4NzAyMTc4Nzc4Mjg0MA%3D%3D.2"
"andreicc123";"i'll tip that #fuck #trump #drumpf #uselections #elections #inGodWeTrust";uselections;1;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/10724983_454983971377777_885761439_n.jpg?ig_cache_key=MTIwODk4NjY1OTgxMTMwNzEyMw%3D%3D.2.l"
"drumworx";"Loved this at the top of 5th Ave the other morning. Trump getting challenged on many levels...doesn't help he has buildings all over the place that people can target! 😂\n\n#nyc #uselections #news #kindness #bully #protest #activism #standup";uselections;1;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/10644085_2011799802379032_1812948827_n.jpg?ig_cache_key=MTIwODk1MzU0Nzc2NjM1MDAyOA%3D%3D.2.l"
"libertyblaze";"When you see an offensive word on a sign...\n#😂 #😩 #✊🏾 #rbg \n#comedian @gyalisinparis #roadrage\n#teamgyalis #offensiveword #hurtsmysoul #uselections #elections #comedy #satire #jokes #sorrynotsorry #badword #trump #buntrump #trumpsafascist #donaldtrump #trumpsaracist #trumpisachump #trumpisajoke #trumpistrash #vote";uselections;1;"https://scontent.cdninstagram.com/t51.2885-15/e15/10576030_579119328918316_1341916848_n.jpg?ig_cache_key=MTIwODkxNjMwNTEyNjc4ODc1Nw%3D%3D.2"
"jessamandita13";"Word. Count my vote in.😂 #uselections #anybodybuttrump #newyorkgirl #newyorker #newyorktimes";uselections;1;"https://scontent.cdninstagram.com/t51.2885-15/s320x320/e35/12816960_1579410529038952_196857748_n.jpg?ig_cache_key=MTIwODg5NDU0MDQwNTYwNDgyOQ%3D%3D.2.l"
"rightconservative";"| Anonymous has declared Total War on Donald J Trump's Presidential candidacy | \nAnonymous has done several acts of good that priorities the people over the establishment ever since they first started in 2004. However this isn't it. By shutting down a presidential candidate, Anonymous has started a war with the American people themselves. \nWe fought so hard for democracy so don't act undemocratic for \"Democratic reasons\". It is a disgrace. Let the American people decide. Let the American people vote. \nIt is also important to know what or who Anonymous is. It isn't a \"collective\" like how the media loves to portray it. Anybody can dawn the mask, even the Government Establishment. \nIt definitely is interesting how Anonymous is starting to sound more and more like the people they started off to fight against.";uselections;1;"https://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/10268881_564578820372339_76147759_n.jpg?ig_cache_key=MTIwODg2MDI4MTgwNjY3ODcxMg%3D%3D.2.l"
"pablo_yanezplacencia";"Cuál me compro?\n#feelthebern #makeamericagreatagain #berniesanders #donaldtrump #uselections #primaries #democrats #GOP";uselections;1;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/10523507_969893489758735_109462593_n.jpg?ig_cache_key=MTIwODMyNTg4Nzk3NjI3NTEzNA%3D%3D.2.l"
"low_cor3";"This made my day \n#USelections \n#Trump \n#republicans \n#democrats2016 \nBut they all looking good Hahaha !!";uselections;1;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/927664_1079130325458600_1456980708_n.jpg?ig_cache_key=MTIwODUyMDQwMzI0NjAzMTc5MA%3D%3D.2.l"
{"username":"nicolasam11","username":"salttepper"};"Mollejas, Provoleta de Cabra, Lomo Black Angus, Tiramisú \nTepperómetro: 😬 (Excelente)\nPrecio: @bigboxar Grande Cuisine\n@palacioduhau \nAv. Alvear 1661, Recoleta.\n\nGracias @nicolasam11 por la invitación!\n\n#food #foodporn #yum #instafood #TagsForLikes #yummy #amazing #instagood #photooftheday #sweet #dinner #lunch #breakfast #fresh #tasty #foodie #delish #delicious #eating #foodpic #foodpics #eat #hungry #foodgasm #hot #foods";food;2;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12424945_103157860084361_139792461_n.jpg?ig_cache_key=MTIxMjU0MTY0OTE2NDEwODIxNg%3D%3D.2"
{"username":"rachaelwhite_stt","username":"compoundbuttermag"};"Have you ever seen a picture of food and thought, I think I've found the love of my life? That's how we felt when we first laid eyes on this bowl. @rachaelwhite_stt is responsible for this gorgeous dish and photo. Check out her site to learn how to make your own Salmon Sashimi Rice Bowl!";food;2;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12446302_1528085550826623_2135254997_n.jpg?ig_cache_key=MTIxMjU0MDkyNjEzMzEwODYxNg%3D%3D.2.l"
"anas_alaouii92";"#love #cute #style #toptags #tweegram #photooftheday #20likes #amazing #smile #follow4follow #like4like #look #igdaily #happy #instalike #igers #picoftheday #food #instadaily #instafollow #followme #girl #iphoneonly #instagood #bestoftheday #instacool #instago #all_shots #follow #webstagram";food;2;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12747810_544645882365895_50652273_n.jpg?ig_cache_key=MTE5MzY2MTMyOTU2MTg1ODMxMQ%3D%3D.2"
"lasamuelhobson";"@hashgramapp #hashgram #love #tweegram #photooftheday #me #instamood #cute #iphonesia #fashion #summer #tbt #igers #picoftheday #food #instadaily #instagramhub #beautiful #girl #iphoneonly #instagood #bestoftheday #jj #sky #picstitch #follow #webstagram #sun #nofilter #happy #banoosh";food;2;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/10644081_445470072289849_1327426082_n.jpg?ig_cache_key=MTIxMjU0MTYzMDEzNjMwMTcyNw%3D%3D.2.l"
"efierrophoto";"Chef Alejandra Martínez 👌🏻👌🏻 #food #foodporn #yum #instafood #yummy #amazing #instagood #photooftheday #sweet #dinner #lunch #breakfast #fresh #tasty #foodie #delish #delicious #eating #foodpic #foodpics #eat #hungry #foodgasm #hot #foods";food;2;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12519082_539535882884909_1883245380_n.jpg?ig_cache_key=MTIxMjU0MTYzMDQ2NTQ2NTM4Mw%3D%3D.2"
"iara.wg";"Buon appetito\n#pizza #delicious #italiancuisine #foody #food #foodporn #lunch";food;2;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12677378_868546806588229_1987705372_n.jpg?ig_cache_key=MTIxMjU0MTYyMTAxOTkwNDg0Ng%3D%3D.2"
"__nastya__kotova";"#love #cute #style @top.tags #toptags #tweegram #photooftheday #20likes #amazing #smile #follow4follow #like4like #look #igdaily #happy #instalike #igers #picoftheday #food #instadaily #instafollow #followme #girl #iphoneonly #instagood #bestoftheday #instacool #instago #all_shots #follow #webstagram";food;2;"https://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/12327995_1175601775791168_1484822730_n.jpg?ig_cache_key=MTIxMjU0MTYwMTA5MjQ3NzQwMg%3D%3D.2.l"
{"username":"fitnessgram_ahmad","username":"my_diet_diary","username":"fitness.hope","username":"trying_to_be_fitness","username":"softmud90","username":"healthy_fatemah","username":"healthy__homefood","username":"dietswiki","username":"f.fitness18"};"صباح الخير والانجازات الجميلة ، الحمد لله 💪🏻خلصنا ١٢ شهر وشوي من بداية الدايت للان 😍💪🏻 احب اسجل التواريخ والمعلومات كامله عشان ارجع لها بعد فتره واشوف الفرق والتغيير وسعيدة بهالوقت اللي خلص بسرعه وانجزت فيه ولو بشيء بسيط 🙏🏻 اهم شي تحطوا في بالكم هدف معين وتبدأوا بتحقيقه 💜";food;2;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12446065_160687684323058_949543598_n.jpg?ig_cache_key=MTIxMjA1MzEwMTQzODM1MDA3MA%3D%3D.2"
"fransan98";"Quando devi trasmettere il tuo talento a gente priva di ispirazione artistica e usi le cuffie come mezzo di comunicazione mentale 😂 #love #blonde #crazy #instagood #me #smile #follow #cute #photooftheday #tbt #followme #redhead #girl #beautiful #happy #picoftheday #instadaily #food #swag #amazing #TFLers #fashion #igers #fun #summer #instalike #bestoftheday #smile #like4like #friends #instamood";food;2;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12599210_1134231113274794_342491526_n.jpg?ig_cache_key=MTIxMjU0MTU5NjY0Mjg5NDYwNA%3D%3D.2"
"speeferz";"Preach puppy preach #pizza #food #dog #lard #nogymnoproblem";food;2;"https://scontent.cdninstagram.com/t51.2885-15/e35/12407187_466138473586465_857013264_n.jpg?ig_cache_key=MTIxMjU0MTU5NzU4MTg0MzQ1NA%3D%3D.2"
"laura_ondiviela";"Cocinando, cocinando... #cooking #kitchen #ensaladadequinoa #healthy #instame #hierbabuena #quinoa #semillasdechia #salad #vegan #lifestyle #food";food;2;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12120401_499279476924906_1312157100_n.jpg?ig_cache_key=MTIxMjUzODUyMzQyNDA5ODk1NA%3D%3D.2.l"
"i_love_phood";"🍰🍰🍰🍰🍰#dessert #food #desserts #Instagram #yum #yummy #amazing #instagood #instafood #sweet #chocolate #cake #icecream #dessertporn #delish #foods #delicious #tasty #eat #eating #hungry #foodpics #sweettooth";food;2;"https://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/917523_1015426941877715_576345982_n.jpg?ig_cache_key=MTIxMjU0MTU4NDY0NjI2MzA5NA%3D%3D.2"
"riccrossi";"#amazing #breakfast #delicious #delish #dinner #eat #eating #food #foodgasm #foodie #foodpic #foodpics #foodporn #foods #fresh #GetInstaLike #hot #hungry #instafood #instagood #lunch #photooftheday #sweet #tasty #yum #yummy";food;2;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12445881_1535306476772189_1946598092_n.jpg?ig_cache_key=MTIxMjU0MTU3NTE5MjMyNDc2Nw%3D%3D.2.l"
"helenaherzsprung";"🌿today I made polenta with grilled celery an cashews🌿\n#polenta #green #food #foodie #foodporn #foodblogger #instafood #instagood #instamood #instadaily #healthy #cleaneating #vegan #veggie";food;2;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12519081_989869277764440_1752001048_n.jpg?ig_cache_key=MTIxMjU0MTU4MDkxNDI2MjgyMw%3D%3D.2"
{"username":"anime.videos_","username":"manga.animes.love","username":"kawaii.creampuff","username":"anime.and.senpai._forlife","username":"kawaii._fantasy._","username":"every.anime.is.daijobu","username":"anime_girl_chan","username":"kawaii.mie_","username":"anime_thelox_","username":"kawaiibreezie","username":"kawaii_nekochan_1","username":"kawaii.id","username":"kawaii_.cosplay","username":"kawaii.anime.guys","username":"animeymangaesp","username":"kawaii.rikka","username":"anime._.obsessed_otaku","username":"anime.__.contests","username":"anime_lifestyles_","username":"kawaii_potato_hugs_","username":"lil.celestial.immortal.s"};"||~\n♡_(:3」∠)_\nNew Theme: \nAnime - Band - Manga\n➳ (⸝⸝⸝°◽︎°⸝⸝⸝=͟͟͞͞)♡\n*Credits for Photo*\n(⌯˃̶᷄ ⁻̫ ˂̶᷄⌯)♡\nTags: Pwease Ignore;)\n[#kawaii #anime #desu #kawaiidesu #manga #thems #food #pose #cute]\n(´∩ω∩`*)";food;2;"https://scontent.cdninstagram.com/t51.2885-15/e35/12446302_1756742234555719_1306390122_n.jpg?ig_cache_key=MTIxMjU0MTU2NDA4NjEzMjU0MQ%3D%3D.2"
"american_corner_aramoun";"#aramoun #bchamoun #bshamoun #american_corner_aramoun #americanstore#food#detergents#household";food;2;"https://scontent.cdninstagram.com/t51.2885-15/s320x320/e35/11925775_541742569332485_1368347565_n.jpg?ig_cache_key=MTIxMjU0MTU3ODc4OTU4NDI3Mw%3D%3D.2"
{"username":"martinafracasia","username":"fed998"};"First of the years\n#sunset #sunrise #alba #tramonto #makeup #hair #eyes #fashion #girls #friends #hair #tumblr #instagood #love #holiday #nails #outfit #photooftheday #piercing #food #shopping #music #nature #landscape #me #selfie #flowers #amazing #cake #cupcake";food;2;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12424937_1584696385191241_527997020_n.jpg?ig_cache_key=MTIxMjU0MTU3NjY4MjQ5Njk4OA%3D%3D.2.l"
"eyewitnessturkey";"#love #TagsForLikes #TFLers #tweegram #photooftheday #20likes #amazing #smile #follow4follow #like4like #look #instalike #igers #picoftheday #food #instadaily #instafollow #followme #iphoneonly #instagood #bestoftheday #instacool #instago #all_shots #follow #webstagram #colorful #style #swag #turkey";food;2;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/10953323_959708040787871_2053690515_n.jpg?ig_cache_key=MTIxMjU0MTMyODExMzQ0NDk1NQ%3D%3D.2"
"chaelin___cl";"#love #TagsForLikes #TFLers #tweegram #photooftheday #20likes #amazing #smile #follow4follow #like4like #look #instalike #igers #picoftheday #food #instadaily #instafollow #followme #girl #iphoneonly #instagood #bestoftheday #instacool #selenagomez #stylenanda #follow #arianagrande #2ne1 #style #swag";food;2;"https://scontent.cdninstagram.com/t51.2885-15/e35/12751357_208323246205695_333011802_n.jpg?ig_cache_key=MTIxMjU0MTU2MDY0NjgzODE1OQ%3D%3D.2.l"
"vany_18_05";"😍👒#love #instagood #me #smile #follow #cute #photooftheday #tbt #followme #girl #beautiful #happy #picoftheday #instadaily #food #swag #amazing #fashion #igers #fun #summer #instalike #bestoftheday #smile #like4like #friends #instamood";food;2;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12751434_675847585888090_44395296_n.jpg?ig_cache_key=MTIxMjU0MTA2NDMxNjc3NTE3Ng%3D%3D.2"
"no_goirand";"Miam💕👌👅😏😍 @naaassima #rise #kombucha #ginger #marchejeantalon #sunnyday #food #miam";food;2;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12599387_1028740260526903_825954210_n.jpg?ig_cache_key=MTIxMjU0MTU1OTMxODAwMTUzNg%3D%3D.2.l"
"smokedburger";"Quer uma boa notícia para essa quarta-feira? Estaremos abertos no feriado! Isso mesmo, abriremos normalmente sexta-feira, sábado e domingo! Chama a galera e vem para cá!\n\n#smokedburgers #amei #uau #delicia #bomdemais #burger #meatlovers #vemexperimentar #simdebitoecredito #naovalerefeicao #foodporn #food #saborosos #suculentos #aguanaboca #foodlovers #vempraca #abertos #feriado #endereço #localizacao #vempraca";food;2;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12501673_1063949267018277_1179306140_n.jpg?ig_cache_key=MTIxMjU0MTU2MjMwMzU2NjUzOA%3D%3D.2"
{"username":"oceaaane_r","username":"paulineb.fit"};"NEW MEMBER - She smashed it! 🙆😍👭💛🌴\n➖➖➖\n✔️ Opportunité nutritionnelle ✔️ Opportunité professionnelle ➖➖➖\n👤 Pauline Baule\n📩 paulineb.fit@gmail.com\n➖➖➖\n#Herbalife #Nutrition #Workout #Objectifs #Motivation #Success #Healthy #Food #FitFam #FitGirl #Abs #Squat #LiveBetter #LiveToInspire #LifeStyle #Fitness #TBC #TopBodyChallenge #Bodytransformation #Regimeuse #30DayChallenge #BBG #PerteDePoids #Vitality #Energy #Job #Opportunity #FrenchHeroGetFit";food;2;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12905131_1664849073780469_431267120_n.jpg?ig_cache_key=MTIxMjU0MTU1MjY4Mjg5OTM0Mg%3D%3D.2"
"_kammyy_";"#fitlifeeveryday 🍩🍩🍩";food;2;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12328263_1590869097902353_186915048_n.jpg?ig_cache_key=MTIxMjU0MTUxNDE5OTYzODE2MQ%3D%3D.2"
"ornella_2711";"Serata messicana..Il mio chef personale è il 🔝 #Nachos & #Fajitas 🌮🌯🇲🇽 #messico #mexico #food #chef #cucinare #cooking #americalatina #cibo #dinner #cena #queso #love #amore #nachosconqueso #pollo #insieme #cucina #cuoco #serata #amazing #good #life #live #nice #good";food;2;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12362079_961910637262613_1023599585_n.jpg?ig_cache_key=MTIxMjU0MTU1MjQwOTM5Njc5Mw%3D%3D.2"
